item_shop_coef,x_id
0.00030385900941962927,5-30
0.00020855057351407716,6-30
0.00034094783498124785,14-30
6.678688305616777e-05,25-30
0.0002602811035918792,26-30
0.0001121201928467317,28-30
6.023733510029516e-05,31-30
0.0004585052728106373,44-30
0.0001460493646852636,57-30
0.00042069835927639884,2-31
0.0004158004158004158,4-31
0.0008342022940563086,6-31
0.0005292405398253506,7-31
0.0007541478129713424,10-31
0.000650110518788194,12-31
0.0013637913399249914,14-31
0.0008194482381862879,15-31
0.0005489980785067252,18-31
0.0002494387627837366,19-31
0.00039502271380604387,21-31
0.0005738880918220947,22-31
0.0002671475322246711,25-31
0.0003363605785401951,28-31
0.0001807120053008855,31-31
0.0016406890894175555,34-31
0.0006758278891642261,35-31
0.0010084033613445378,37-31
0.0011173184357541898,39-31
0.0004506534474988734,41-31
0.0007590452897022856,42-31
0.0010204081632653062,45-31
0.0004927322000492732,46-31
0.00035829451809387314,47-31
0.000877963125548727,48-31
0.00047961630695443646,49-31
0.000711490572749911,50-31
0.0002670940170940171,56-31
0.0002920987293705272,57-31
0.0002316423442205235,58-31
0.0014336917562724014,59-31
0.00042069835927639884,2-32
0.0005313496280552603,3-32
0.0008316008316008316,4-32
0.0006256517205422315,6-32
0.0007938608097380259,7-32
0.00034094783498124785,14-32
0.0002731494127287626,15-32
0.0009933774834437086,16-32
0.0009977550511349464,19-32
0.00039502271380604387,21-32
0.000819000819000819,24-32
0.0004675081813931744,25-32
0.0007808433107756377,26-32
0.0002242403856934634,28-32
0.0006626106861032468,31-32
0.00022527596305474206,35-32
0.00037243947858472997,39-32
0.00016867673104495234,42-32
0.0009170105456212746,44-32
0.0005102040816326531,45-32
0.0004927322000492732,46-32
0.00017914725904693657,47-32
0.000292654375182909,48-32
0.000711490572749911,50-32
0.0007301935012778386,52-32
0.0002905287623474724,53-32
0.0008012820512820513,56-32
0.00043814809405579085,57-32
0.000463284688441047,58-32
0.00042069835927639884,2-33
0.0004158004158004158,4-33
0.00030385900941962927,5-33
0.00020855057351407716,6-33
0.00033112582781456954,16-33
0.0005738880918220947,22-33
0.000273000273000273,24-33
0.00033393441528083883,25-33
0.0007808433107756377,26-33
0.0003011866755014758,31-33
0.0006758278891642261,35-33
0.0030864197530864196,36-33
0.0003361344537815126,37-33
0.00037243947858472997,39-33
0.0004506534474988734,41-33
0.00016867673104495234,42-33
0.0005102040816326531,45-33
0.0009854644000985464,46-33
0.000292654375182909,48-33
0.00047961630695443646,49-33
0.000711490572749911,50-33
0.0007301935012778386,52-33
0.0007302468234263181,57-33
0.0001300221037576388,12-38
0.00033112582781456954,16-38
0.00028694404591104734,22-38
6.678688305616777e-05,25-38
0.0001121201928467317,28-38
0.00012047467020059032,31-38
0.00016867673104495234,42-38
0.0,45-38
0.00019751135690302193,21-42
0.0002670940170940171,56-42
0.00013357376611233555,25-45
0.000361424010601771,31-45
8.433836552247617e-05,42-45
0.0003650967506389193,52-45
0.0001460493646852636,57-45
0.0005925340707090658,21-51
6.023733510029516e-05,31-51
8.433836552247617e-05,42-51
0.0002670940170940171,56-51
0.0002920987293705272,57-51
0.00019751135690302193,21-53
6.678688305616777e-05,25-53
0.0003011866755014758,31-53
0.00016867673104495234,42-53
0.00039502271380604387,21-57
6.678688305616777e-05,25-57
0.0001807120053008855,31-57
8.433836552247617e-05,42-57
0.0008012820512820513,56-57
0.0002920987293705272,57-57
0.00019751135690302193,21-59
6.678688305616777e-05,25-59
0.0003011866755014758,31-59
8.433836552247617e-05,42-59
0.0001460493646852636,57-59
0.0005313496280552603,3-62
0.0008316008316008316,4-62
0.00030385900941962927,5-62
0.00020855057351407716,6-62
0.0002646202699126753,7-62
0.0007541478129713424,10-62
0.00034094783498124785,14-62
0.0005489980785067252,18-62
0.0007483162883512097,19-62
0.00039502271380604387,21-62
0.00028694404591104734,22-62
0.000819000819000819,24-62
0.0002003606491685033,25-62
0.0005205622071837585,26-62
0.00024094934040118065,31-62
0.0008203445447087777,34-62
0.0009011038522189682,35-62
0.00024449877750611245,38-62
0.0004506534474988734,41-62
8.433836552247617e-05,42-62
0.0002463661000246366,46-62
0.00017914725904693657,47-62
0.00047961630695443646,49-62
0.000711490572749911,50-62
0.0002670940170940171,56-62
0.0002920987293705272,57-62
0.000463284688441047,58-62
0.00035842293906810036,59-62
0.0004158004158004158,4-64
0.00012047467020059032,31-64
0.00030385900941962927,5-67
0.00013357376611233555,25-67
0.0003363605785401951,28-67
0.0005421360159026565,31-67
0.00037243947858472997,39-67
0.0004585052728106373,44-67
0.00017914725904693657,47-67
0.00047961630695443646,49-67
0.0002670940170940171,56-67
0.0001460493646852636,57-67
0.000463284688441047,58-67
0.006812652068126521,55-69
0.00042069835927639884,2-70
0.00020855057351407716,6-70
0.0010401768300611104,12-70
0.004878048780487805,22-70
0.00033393441528083883,25-70
0.0001121201928467317,28-70
6.023733510029516e-05,31-70
0.0008203445447087777,34-70
0.0003361344537815126,37-70
0.0002530150965674285,42-70
0.00020855057351407716,6-76
0.00028694404591104734,22-76
6.678688305616777e-05,25-76
6.023733510029516e-05,31-76
0.00016867673104495234,42-76
0.0002670940170940171,56-76
0.0004171011470281543,6-91
0.0002646202699126753,7-91
0.000650110518788194,12-91
0.00034094783498124785,14-91
0.0002744990392533626,18-91
0.00019751135690302193,21-91
0.000273000273000273,24-91
0.00033393441528083883,25-91
0.0005205622071837585,26-91
0.0003363605785401951,28-91
0.00012047467020059032,31-91
0.0004505519261094841,35-91
0.00037243947858472997,39-91
0.0003373534620899047,42-91
0.0001460493646852636,57-91
0.00013357376611233555,25-93
0.0001121201928467317,28-93
6.023733510029516e-05,31-93
8.433836552247617e-05,42-93
0.0002670940170940171,56-109
0.00043814809405579085,57-109
0.0001121201928467317,28-138
6.023733510029516e-05,31-138
0.0001300221037576388,12-149
0.00028694404591104734,22-149
6.678688305616777e-05,25-149
0.0001121201928467317,28-149
0.0001807120053008855,31-149
0.0001121201928467317,28-153
0.00012047467020059032,31-153
0.00019751135690302193,21-154
0.0003363605785401951,28-154
0.00012047467020059032,31-154
0.0002670940170940171,56-166
0.0005738880918220947,22-202
0.00013357376611233555,25-202
0.0001121201928467317,28-202
0.00012047467020059032,31-202
0.0003650967506389193,52-202
0.00019751135690302193,21-205
0.000273000273000273,24-205
6.678688305616777e-05,25-205
0.0002242403856934634,28-205
0.00012047467020059032,31-205
0.0003650967506389193,52-205
0.000860832137733142,22-213
0.0002003606491685033,25-213
0.0001121201928467317,28-213
0.00024094934040118065,31-213
0.0001807120053008855,31-226
0.00019751135690302193,21-234
0.000273000273000273,24-234
6.678688305616777e-05,25-234
0.0003363605785401951,28-234
0.0001807120053008855,31-234
0.00019751135690302193,21-248
0.00028694404591104734,22-248
0.000273000273000273,24-248
0.00013357376611233555,25-248
0.0003363605785401951,28-248
0.00012047467020059032,31-248
0.0003650967506389193,52-248
0.00019751135690302193,21-253
0.00028694404591104734,22-253
6.023733510029516e-05,31-253
0.00019751135690302193,21-259
0.00028694404591104734,22-259
0.0001121201928467317,28-259
0.00012047467020059032,31-259
0.0003650967506389193,52-259
0.00019751135690302193,21-269
0.00028694404591104734,22-269
0.0002463661000246366,46-269
0.00019751135690302193,21-308
0.00028694404591104734,22-308
0.00013357376611233555,25-308
0.0001121201928467317,28-308
0.0001807120053008855,31-308
0.00028694404591104734,22-313
0.00013357376611233555,25-313
0.0002242403856934634,28-313
6.023733510029516e-05,31-313
0.0003650967506389193,52-313
6.678688305616777e-05,25-315
0.00019751135690302193,21-325
0.00028694404591104734,22-325
0.0002003606491685033,25-325
0.0003363605785401951,28-325
0.00012047467020059032,31-325
8.433836552247617e-05,42-325
0.00028694404591104734,22-353
0.000273000273000273,24-353
0.0002003606491685033,25-356
6.023733510029516e-05,31-356
0.00019751135690302193,21-388
0.00028694404591104734,22-388
0.0001121201928467317,28-388
6.023733510029516e-05,31-388
0.0003650967506389193,52-388
0.00028694404591104734,22-407
6.678688305616777e-05,25-407
0.0002242403856934634,28-407
6.023733510029516e-05,31-407
0.00039502271380604387,21-408
0.00028694404591104734,22-408
6.678688305616777e-05,25-408
0.0001121201928467317,28-408
0.00028694404591104734,22-413
0.0002242403856934634,28-413
0.00012047467020059032,31-413
6.678688305616777e-05,25-421
0.00012047467020059032,31-421
6.678688305616777e-05,25-445
0.00019751135690302193,21-448
0.00028694404591104734,22-448
6.678688305616777e-05,25-448
0.0001121201928467317,28-448
6.023733510029516e-05,31-448
0.0004506534474988734,41-448
0.0003650967506389193,52-448
0.0004158004158004158,4-464
0.0010401768300611104,12-464
0.0002744990392533626,18-464
0.00019751135690302193,21-464
0.006599713055954089,22-464
0.0002671475322246711,25-464
0.0007808433107756377,26-464
0.0001807120053008855,31-464
0.0008203445447087777,34-464
0.00022527596305474206,35-464
0.0003361344537815126,37-464
0.0004889975550122249,38-464
0.0004506534474988734,41-464
0.0009277220207472379,42-464
0.0003557452863749555,50-464
0.0005313496280552603,3-473
0.0007541478129713424,10-473
0.0002600442075152776,12-473
0.0005738880918220947,22-473
0.001365001365001365,24-473
6.678688305616777e-05,25-473
6.023733510029516e-05,31-473
0.0003361344537815126,37-473
0.0001300221037576388,12-474
0.00028694404591104734,22-474
6.678688305616777e-05,25-474
6.023733510029516e-05,31-477
0.0005200884150305552,12-478
0.0001121201928467317,28-478
0.00042069835927639884,2-482
0.0008316008316008316,4-482
0.00020855057351407716,6-482
0.0005292405398253506,7-482
0.0022624434389140274,10-482
0.0024704199713951372,12-482
0.0002731494127287626,15-482
0.0006622516556291391,16-482
0.0002494387627837366,19-482
0.00039502271380604387,21-482
0.006599713055954089,22-482
0.002184002184002184,24-482
0.0002671475322246711,25-482
0.0007808433107756377,26-482
0.0007848413499271219,28-482
0.0006626106861032468,31-482
0.00022527596305474206,35-482
0.0003361344537815126,37-482
0.00024449877750611245,38-482
0.0,39-482
0.0002530150965674285,42-482
0.0004585052728106373,44-482
0.0005102040816326531,45-482
0.0004927322000492732,46-482
0.0005374417771408098,47-482
0.000292654375182909,48-482
0.0003557452863749555,50-482
0.0005810575246949448,53-482
0.0008762961881115817,57-482
0.0016827934371055953,2-486
0.0010626992561105207,3-486
0.0008316008316008316,4-486
0.00030385900941962927,5-486
0.0018769551616266945,6-486
0.0010584810796507012,7-486
0.004524886877828055,10-486
0.0031205304901833313,12-486
0.0006818956699624957,14-486
0.0010925976509150504,15-486
0.00033112582781456954,16-486
0.0010979961570134504,18-486
0.0009977550511349464,19-486
0.0007900454276120877,21-486
0.020946915351506456,22-486
0.003276003276003276,24-486
0.0021371802577973688,25-486
0.003643935450286309,26-486
0.0013454423141607804,28-486
0.0013854587073067887,31-486
0.0006758278891642261,35-486
0.0003361344537815126,37-486
0.0007334963325183374,38-486
0.0011173184357541898,39-486
0.0004506534474988734,41-486
