PassengerId,Survived
892,0.100678951
893,0.372259814
894,0.118966455
895,0.093573517
896,0.551639448
897,0.145754822
898,0.664267355
899,0.198597479
900,0.777578266
901,0.083737459
902,0.08721965
903,0.325366395
904,0.935897773
905,0.069867062
906,0.852379855
907,0.890239024
908,0.277146121
909,0.173290133
910,0.562298759
911,0.551817558
912,0.314838061
913,0.140457887
914,0.937221242
915,0.617034519
916,0.814834098
917,0.034335724
918,0.958372258
919,0.165140906
920,0.369127876
921,0.097487155
922,0.110439171
923,0.221283167
924,0.388332315
925,0.44462351
926,0.547033536
927,0.187573045
928,0.605247479
929,0.659100364
930,0.100339375
931,0.08721965
932,0.076232534
933,0.481972463
934,0.056685341
935,0.826610146
936,0.86184426
937,0.100339375
938,0.446653908
939,0.121626205
940,0.870362535
941,0.402898925
942,0.486062282
943,0.367250839
944,0.795448329
945,0.840384397
946,0.349478551
947,0.100948985
948,0.070438371
949,0.100339375
950,0.074127683
951,0.944370518
952,0.131901816
953,0.229055264
954,0.127538689
955,0.729400282
956,0.548836718
957,0.842605739
958,0.758813988
959,0.316940184
960,0.581010295
961,0.575686214
962,0.713874956
963,0.115183558
964,0.586635835
965,0.604332663
966,0.94636654
967,0.566833836
968,0.08721965
969,0.780279481
970,0.242991083
971,0.713874956
972,0.198443273
973,0.152157065
974,0.30044652
975,0.08721965
976,0.325907685
977,0.114195879
978,0.689615903
979,0.68465383
980,0.689615903
981,0.385220915
982,0.609153286
983,0.08721965
984,0.886301385
985,0.08721965
986,0.636182116
987,0.100339375
988,0.653054945
989,0.08721965
990,0.667730722
991,0.075671086
992,0.915627086
993,0.231959925
994,0.121626205
995,0.096903746
996,0.714139199
997,0.090346287
998,0.15870338
999,0.121626205
1000,0.08721965
1001,0.333620006
1002,0.25253253
1003,0.689615903
1004,0.944370518
1005,0.755259406
1006,0.756754014
1007,0.164734637
1008,0.13334526
1009,0.734773781
1010,0.533366428
1011,0.805895986
1012,0.905297102
1013,0.103957894
1014,0.936646463
1015,0.090346287
1016,0.121626205
